shop_name,shop_id,item_name,item_id,item_category,item_brand,item_ksp,item_desc
充电优品,S001,20000mAh 双向快充移动电源（USB-C+2A）,10001,移动电源,Anker,产品特性:20000mAh 大容量；产品特性:双向 PD 快充 65W；用户收益:为手机与笔电快速补电；品质保障:多重安全保护（过充/过放/短路）；使用场景:出差/旅行/会议,支持 USB-C 双向输入/输出与两个 USB-A 输出，采用高密度电芯与温控保护，配短线与收纳袋，适合长途旅行与多人共享充电。
充电优品,S001,10000mAh 超薄便携移动电源（18W）,10002,移动电源,Baseus,产品特性:10000mAh 轻薄机身；产品特性:18W PD 快充；用户收益:便携随身携带；情绪价值:外观极简好看；品质保障:通过 CE/ROHS 认证,适合日常通勤使用，轻薄机身可放口袋或包内，支持一台手机全天续航，外壳防刮处理，颜色有三款可选。
充电优品,S001,30000mAh 大容量户外移动电源（含交流输出）,10003,移动电源,ROMOSS,产品特性:30000mAh 带 AC 输出；用户收益:能给笔记本和小家电供电；使用场景:露营/应急备用；品质保障:防火阻燃外壳+多重保护；价格促销:节假日套装优惠,带 220V AC 输出和多口 DC/USB 输出，适合户外露营与断电应急，内置 LED 手电与数显电量，充电时间较长但容量大。
充电优品,S001,双向快充无线移动电源（磁吸 10k）,10004,移动电源,ESR,产品特性:磁吸无线对齐；产品特性:10000mAh；用户收益:无线一放即充；使用场景:通勤/办公桌,集成磁吸模块兼容部分磁吸手机，支持无线与有线同时输出，适合办公桌面或车内短时补电，携带方便。
充电优品,S001,太阳能便携移动电源（户外充电）,10005,移动电源,Anker,产品特性:太阳能补充充电；使用场景:户外/露营；用户收益:长时间户外续航；品质保障:防水等级 IPX4,带太阳能板可白天弱光充电，适合露营和户外活动，内置强光手电与挂绳，非主充电手段但可延长备用时间。
充电优品,S001,65W GaN 氮化镓快充（单C口）,10006,充电器与数据线,UGREEN,产品特性:GaN 氮化镓小体积高功率；产品特性:PD3.0 支持；用户收益:替代笨重充电器更轻便；品质保障:过压过流保护；对比优势:同功率体积更小,单 USB-C 输出，可为笔电/平板/手机快充，插脚折叠设计便于携带，适合出差用户。
充电优品,S001,45W 双口车载快充（C+A）,10007,充电器与数据线,Baseus,产品特性:45W 总输出；使用场景:车载同时充电；用户收益:司机和乘客同时快充；品质保障:散热金属外壳与防护协议,插入点烟器口，双口同时输出，智能识别设备并分配功率，具备过温保护，外形紧凑不挡视线。
充电优品,S001,编织快充数据线 USB-C to Lightning 1.5m（MFi）,10008,充电器与数据线,Nillkin,产品特性:MFi 认证；用户收益:兼顾传输与快充；品质保障:加固接口抗折断；价格促销:两条装优惠,1.5 米长度适合床头与办公使用，编织材质耐用，支持 PD 快充与数据传输，包装含收纳绑带。
充电优品,S001,磁吸无线充电底座（15W 支持横竖放）,10009,充电器与数据线,Baseus,产品特性:磁吸定位；用户收益:摆放即充；使用场景:办公桌/床头；品质保障:散热与短路保护；口碑证明:好评率高,支持兼容设备的最高 15W 无线充电，带防滑底座和散热孔，充电过程中自动对齐并显示 LED 指示。
充电优品,S001,PD 快充充电头套装（30W+60W）,10010,充电器与数据线,UGREEN,产品特性:套装覆盖多设备；用户收益:家庭与出差通用；价格促销:套装折扣；品质保障:多重认证,一套含 30W 与 60W 两个充电头，满足手机与笔记本不同场景需求，旅行与家用均可。
跑者之家,S002,男款缓震跑步鞋（长跑）,20001,跑鞋,Asics,产品特性:GEL 缓震中底；用户收益:保护膝盖减震；使用场景:长距离路跑/训练；品质保障:耐磨外底与透气鞋面；口碑证明:跑团推荐,中等堆高、稳定支撑，鞋面透气，适合每周中长距离训练，鞋底耐磨设计提升里程耐久性。
跑者之家,S002,女款轻量竞速跑鞋（短中距）,20002,跑鞋,New Balance,产品特性:轻量回弹中底；用户收益:提升配速响应；使用场景:竞赛/间歇训练；情绪价值:动感外观激励感,适合 5K-21K 竞速使用，窄楦设计更贴合竞速脚感，建议配速训练使用以发挥最佳效果。
跑者之家,S002,越野抓地跑鞋（山地）,20003,跑鞋,Salomon,产品特性:深纹多向抓地大底；使用场景:山地/泥地越野；用户收益:增强稳定与抓地；品质保障:防泥护套与耐磨鞋面,专为山径与泥地设计，外底抓地力强，鞋面抗撕裂，适合复杂地形及越野赛。
跑者之家,S002,多功能训练跑鞋（入门）,20004,跑鞋,Nike,产品特性:中底回弹材料；用户收益:训练舒适；使用场景:跑步/健身/通勤；价格促销:首单立减,适合跑步新手与日常训练者，兼具缓冲与耐用，适合通勤亦可跑步。
跑者之家,S002,轻透跑鞋（夏季透气款）,20005,跑鞋,Puma,产品特性:超透气网面；用户收益:降低闷热不适；使用场景:夏季训练/短跑,鞋面透气快干，适合夏天训练，重量轻，短距离与速度训练表现良好。
