item_id,item_name,item_desc,item_ksp
CL001,男士经典商务牛津衬衫,采用100%长绒棉面料，抗皱免烫处理，修身剪裁，适合办公室和商务场合穿着,"高支长绒棉面料,抗皱免烫技术,商务修身剪裁,环保活性印染"
CL002,女士冬季加厚羊毛呢大衣,双面羊绒呢料，80%羊毛含量，立领设计，双侧口袋，中长款版型，适合秋冬季节,"双面羊绒呢料,防风立领设计,经典中长款版型,精致金属扣装饰"
CL003,运动速干透气T恤,92%聚酯纤维+8%氨纶混纺，四面弹力，吸湿快干技术，适合跑步、健身等运动场景,"科技速干面料,四面弹力设计,透气网格拼接,抗异味处理"
CL004,休闲牛仔裤(修身直筒),使用12oz赤耳丹宁布，传统水洗工艺，五口袋设计，轻度弹性，经久耐穿,"赤耳丹宁面料,传统水洗工艺,五口袋经典设计,适度弹性舒适"
CL005,女士蕾丝连衣裙,V领设计，腰部收腰剪裁，裙摆A字型，内衬为纯棉材质，适合宴会和日常约会,"精致蕾丝面料,V领显瘦设计,A字裙摆剪裁,内置防走光衬里"
CL006,男士冬季加绒休闲裤,外层为斜纹棉布，内里加绒保暖，松紧腰设计，多口袋实用功能，适合秋冬日常,"内里加绒保暖,松紧弹力腰头,多功能口袋设计,耐磨面料"
CL007,儿童纯棉连帽卫衣,100%精梳棉，无荧光剂添加，卡通印花设计，罗纹袖口和下摆，适合3-8岁儿童,"A类婴幼儿标准,无荧光剂安全面料,趣味卡通印花,罗纹收口设计"
CL008,商务男士西服套装,含羊毛混纺面料，半麻衬工艺，立体剪裁，配套西裤，适用于商务会议和正式场合,"羊毛混纺面料,半麻衬高级工艺,立体修身剪裁,防皱抗静电处理"
CL009,女士瑜伽健身套装,上衣为高强度支撑运动bra，裤子为高腰提臀瑜伽裤，采用莱卡面料，四面弹力,"高弹莱卡面料,高强度支撑设计,高腰提臀剪裁,透气速干技术"
CL010,男士轻便防风夹克,采用聚酯纤维防风面料，可收纳设计，多口袋功能，轻量化，适合春秋季户外活动,"超轻便携设计,防风防水涂层,多实用口袋,可收纳至自带袋"
CL011,女士真丝衬衫,100%桑蚕丝面料，光泽柔和，珍珠扣装饰，宽松版型，适合职场和休闲场合,"100%桑蚕丝面料,手工缝制珍珠扣,宽松舒适版型,柔和光泽质感"
CL012,儿童防水保暖羽绒服,90%白鸭绒填充，防水外层，可拆卸帽子，魔术贴袖口，适合冬季户外活动,"90%高蓬松白鸭绒,防水防污外层,可拆卸连帽设计,安全反光条"
CL013,男士休闲 Polo 衫,珠地棉面料，经典三扣设计，罗纹领口，透气吸汗，适合商务休闲和日常穿着,"珠地棉透气面料,经典三扣设计,罗纹领口防变形,环保活性染色"
CL014,女士阔腿休闲裤,垂感雪纺面料，高腰设计，松紧腰头，隐形口袋，适合春夏季节搭配,"垂感雪纺面料,高腰显瘦设计,隐形侧口袋,松紧腰舒适版型"
CL015,情侣款纯棉家居服套装,100%精梳棉，无骨缝制工艺，宽松版型，多色可选，适合居家休闲穿着,"无骨缝制工艺,精梳棉柔软面料,情侣多色可选,环保印染技术"
